ts,room,file,direction,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1767795415.656752,9797,Random_Stuff (1).pdf,upload,0,0,,,1000.0,1.0,16.0,START,reno
1767795415.6577532,9797,Random_Stuff (1).pdf,upload,1,4096,1.001119613647461,1.001119613647461,200.0,2.0,16.0,ACK,reno
1767795415.6587481,9797,Random_Stuff (1).pdf,upload,2,4096,0.0,0.8759796619415283,200.0,3.0,16.0,ACK,reno
1767795415.6597474,9797,Random_Stuff (1).pdf,upload,3,4096,0.9992122650146484,0.8913837373256683,200.0,4.0,16.0,ACK,reno
1767795415.6607506,9797,Random_Stuff (1).pdf,upload,4,4096,1.003265380859375,0.9053689427673817,200.0,5.0,16.0,ACK,reno
1767795415.6617472,9797,Random_Stuff (1).pdf,upload,5,4096,1.9998550415039062,1.0421797051094472,200.0,6.0,16.0,ACK,reno
1767795415.6627476,9797,Random_Stuff (1).pdf,upload,6,4096,3.0002593994140625,1.2869396668975241,200.0,7.0,16.0,ACK,reno
1767795415.663748,9797,Random_Stuff (1).pdf,upload,7,4096,2.9973983764648438,1.500747005593439,200.0,8.0,16.0,ACK,reno
1767795415.6647465,9797,Random_Stuff (1).pdf,upload,8,4096,2.9973983764648438,1.6878284269523647,200.0,9.0,16.0,ACK,reno
1767795415.6657467,9797,Random_Stuff (1).pdf,upload,9,4096,2.9993057250976562,1.8517630892205261,200.0,10.0,16.0,ACK,reno
1767795415.6667502,9797,Random_Stuff (1).pdf,upload,10,4096,5.0029754638671875,2.245664636051359,200.0,11.0,16.0,ACK,reno
1767795415.6672878,9797,Random_Stuff (1).pdf,upload,11,4096,4.540205001831055,2.532482181773821,200.0,12.0,16.0,ACK,reno
1767795415.668284,9797,Random_Stuff (1).pdf,upload,12,4096,5.536317825317383,2.907961637216766,200.0,13.0,16.0,ACK,reno
1767795415.6702843,9797,Random_Stuff (1).pdf,upload,13,4096,6.537675857543945,3.3616759147576634,200.0,14.0,16.0,ACK,reno
1767795415.6715188,9797,Random_Stuff (1).pdf,upload,14,4096,6.536245346069336,3.7584970936716227,200.0,15.0,16.0,ACK,reno
1767795415.6730466,9797,Random_Stuff (1).pdf,upload,15,4096,8.31294059753418,4.327802531654442,200.0,16.0,16.0,ACK,reno
1767795415.674047,9797,Random_Stuff (1).pdf,upload,16,4096,9.300470352172852,4.949386009219244,200.0,16.0625,16.0,ACK,reno
1767795415.6750474,9797,Random_Stuff (1).pdf,upload,17,4096,10.300874710083008,5.618322096827214,200.0,16.12475680933852,16.0,ACK,reno
1767795415.6760492,9797,Random_Stuff (1).pdf,upload,18,4096,10.302543640136719,6.203849789740902,200.0,16.186773248521085,16.0,ACK,reno
