ts,room,file,direction,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1767696742.6669753,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,1,4096,1.4243125915527344,1.4243125915527344,50.0,2.0,16.0,ACK,reno
1767696742.6688395,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,2,4096,0.9050369262695312,1.359403133392334,50.0,3.0,16.0,ACK,reno
1767696742.6701756,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,3,4096,2.295255661010742,1.476384699344635,50.0,4.0,16.0,ACK,reno
1767696742.6718364,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,4,4096,1.552581787109375,1.4859093353152275,50.0,5.0,16.0,ACK,reno
1767696742.674836,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,5,4096,4.566431045532227,1.8709745490923524,50.0,6.0,16.0,ACK,reno
1767696742.6768405,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,6,4096,5.003690719604492,2.26256407040637,50.0,7.0,16.0,ACK,reno
1767696742.6801157,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,7,4096,8.8958740234375,3.091727814535261,50.0,8.0,16.0,ACK,reno
1767696742.6827323,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,8,4096,9.89532470703125,3.9421774260972597,50.0,9.0,16.0,ACK,reno
1767696742.6854074,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,9,4096,11.513233184814453,4.888559395936909,50.0,10.0,16.0,ACK,reno
1767696742.6884134,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,10,4096,12.575626373291016,5.849442768106172,50.0,11.0,16.0,ACK,reno
1767696742.6914022,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,11,4096,15.609025955200195,7.069390666492925,50.0,12.0,16.0,ACK,reno
1767696742.696007,4444,screencapture-localhost-8501-chat-2026-01-06-00_21_43.png,upload,12,4096,18.215417861938477,8.46264406592362,50.0,13.0,16.0,ACK,reno
