ts,room,file,direction,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1767103469.187072,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,1,4096,0.2846717834472656,0.2846717834472656,0.8540153503417969,2.0,8.0,ACK,reno
1767103469.187506,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,2,4096,0.3025531768798828,0.2869069576263428,0.7317960262298584,3.0,8.0,ACK,reno
1767103469.1879764,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,3,4096,0.3426074981689453,0.2938695251941681,0.6832368671894073,4.0,8.0,ACK,reno
1767103469.188234,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,4,4096,0.13780593872070312,0.27436157688498497,0.7224506698548794,5.0,8.0,ACK,reno
1767103469.1920507,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,5,4096,0.17690658569335938,0.26217970298603177,0.6957015139050782,6.0,8.0,ACK,reno
1767103469.192199,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,6,4096,0.12183189392089844,0.2446362268528901,0.7101253941073082,7.0,8.0,ACK,reno
1767103469.1923428,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,7,4096,0.11897087097167969,0.2289280573677388,0.7037102886897628,8.0,8.0,ACK,reno
1767103469.1924746,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,8,4096,0.1068115234375,0.21366349062645895,0.6918666980482158,8.125,8.0,ACK,reno
1767103469.1926203,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,9,4096,0.1201629638671875,0.20197592478155002,0.6541288571071391,8.248076923076923,8.0,ACK,reno
1767103469.1927214,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,10,4096,0.0762939453125,0.18626567734791877,0.6510623560611606,8.369317305450437,8.0,ACK,reno
1767103469.1928518,8158,MXB2026-Dhaka-DU_GenMorphix-TrustWallet-Pitch-Deck.pdf,upload,11,4096,0.1049041748046875,0.17609548953001486,0.6060545011081775,8.488801364126138,8.0,ACK,reno
