ts,room,file,direction,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1767635390.7058163,3333,12.IPv6.pdf,upload,1,4096,8.00180435180664,8.00180435180664,24.005413055419922,2.0,8.0,ACK,reno
1767635390.7058163,3333,12.IPv6.pdf,upload,2,4096,0.0,7.0015788078308105,27.006089687347412,3.0,8.0,ACK,reno
1767635390.7068174,3333,12.IPv6.pdf,upload,3,4096,0.0,6.126381456851959,28.13134342432022,4.0,8.0,ACK,reno
1767635390.7068174,3333,12.IPv6.pdf,upload,4,4096,0.0,5.360583774745464,27.99068670719862,5.0,8.0,ACK,reno
1767635390.7068174,3333,12.IPv6.pdf,upload,5,4096,0.0,4.690510802902281,27.023671776987612,6.0,8.0,ACK,reno
1767635390.7068174,3333,12.IPv6.pdf,upload,6,4096,0.0,4.104196952539496,25.544578486005776,7.0,8.0,ACK,reno
1767635390.710822,3333,12.IPv6.pdf,upload,7,4096,0.9665489196777344,3.711990948431776,22.929925131393247,8.0,8.0,ACK,reno
1767635390.710822,3333,12.IPv6.pdf,upload,8,4096,0.0,3.247992079877804,21.373433665530683,8.125,8.0,ACK,reno
1767635390.710822,3333,12.IPv6.pdf,upload,9,4096,0.0,2.8419930698930784,19.684066339010542,8.248076923076923,8.0,ACK,reno
1767635390.710822,3333,12.IPv6.pdf,upload,10,4096,0.0,2.4867439361564436,17.96029195788762,8.369317305450437,8.0,ACK,reno
1767635390.710822,3333,12.IPv6.pdf,upload,11,4096,0.0,2.175900944136888,16.267805896591714,8.488801364126138,8.0,ACK,reno
1767635390.7118897,3333,12.IPv6.pdf,upload,12,4096,1.0676383972167969,2.0373681257718768,13.714559387033088,8.606603625847802,8.0,ACK,reno
1767635390.7118897,3333,12.IPv6.pdf,upload,13,4096,0.0,1.782697110050392,12.577958681768177,8.722793477672365,8.0,ACK,reno
1767635390.7118897,3333,12.IPv6.pdf,upload,14,4096,0.0,1.559859971294093,11.439003260132823,8.837435650797257,8.0,ACK,reno
1767635390.7118897,3333,12.IPv6.pdf,upload,15,4096,0.0,1.3648774748823314,10.33409491280547,8.950590647281988,8.0,ACK,reno
1767635390.7118897,3333,12.IPv6.pdf,upload,16,4096,0.0,1.19426779052204,9.286058343846726,9.062315117700448,8.0,ACK,reno
