ts,room,file,direction,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1767845620.2681222,8069,Random_Stuff (1) (1).pdf,upload,0,0,,,1000.0,1.0,16.0,START,reno
1767845620.2697055,8069,Random_Stuff (1) (1).pdf,upload,1,4096,0.5846023559570312,0.5846023559570312,200.0,2.0,16.0,ACK,reno
1767845620.2713737,8069,Random_Stuff (1) (1).pdf,upload,2,4096,0.6387233734130859,0.5913674831390381,200.0,3.0,16.0,ACK,reno
1767845620.4785864,8069,Random_Stuff (1) (1).pdf,upload,5,0,,0.8405609987676144,400.0,1.0,2.0,TIMEOUT,reno
1767845620.480706,8069,Random_Stuff (1) (1).pdf,upload,6,4096,207.89241790771484,26.722043112386018,235.54929048987105,2.0,2.0,ACK,reno
1767845620.4826045,8069,Random_Stuff (1) (1).pdf,upload,7,4096,0.5047321319580078,23.444879239832517,206.2826257533743,2.5,2.0,ACK,reno
1767845620.484953,8069,Random_Stuff (1) (1).pdf,upload,8,4096,2.1696090698242188,20.78547046858148,200.0,2.9,2.0,ACK,reno
1767845620.4867187,8069,Random_Stuff (1) (1).pdf,upload,9,4096,3.0019283294677734,18.562527701192266,200.0,3.2448275862068963,2.0,ACK,reno
1767845620.488649,8069,Random_Stuff (1) (1).pdf,upload,10,4096,2.574443817138672,16.564017215685567,200.0,3.5530103704789475,2.0,ACK,reno
1767845620.4898865,8069,Random_Stuff (1) (1).pdf,upload,11,4096,3.012418746948242,14.870067407093401,200.0,3.8344618428159674,2.0,ACK,reno
1767845620.4913359,8069,Random_Stuff (1) (1).pdf,upload,12,4096,3.854990005493164,13.493182731893372,200.0,4.095254632258779,2.0,ACK,reno
1767845620.4933345,8069,Random_Stuff (1) (1).pdf,upload,13,4096,3.497600555419922,12.24373495983419,200.0,4.339439692724345,2.0,ACK,reno
1767845620.494554,8069,Random_Stuff (1) (1).pdf,upload,14,4096,2.8824806213378906,11.073578167522154,200.0,4.569884190357676,2.0,ACK,reno
1767845620.4960966,8069,Random_Stuff (1) (1).pdf,upload,15,4096,4.7607421875,10.284473670019384,200.0,4.7887081163796905,2.0,ACK,reno
1767845620.4980953,8069,Random_Stuff (1) (1).pdf,upload,16,4096,4.775285720825195,9.595825176370111,200.0,4.997532704493449,2.0,ACK,reno
