ts,room,file,direction,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1767694077.702171,1234,test_handshake.txt,upload,1,4096,0.9961128234863281,0.9961128234863281,2.9883384704589844,2.0,16.0,ACK,reno
1767694088.195559,1234,test_handshake.txt,upload,1,4096,0.0,0.0,0.0,2.0,16.0,ACK,reno
1767694115.9233139,1234,test_handshake.txt,upload,1,4096,0.9977817535400391,0.9977817535400391,2.993345260620117,2.0,16.0,ACK,reno
1767694115.9284635,1234,test_handshake.txt,download,1,4096,0.13184547424316406,0.13184547424316406,0.3955364227294922,2.0,16.0,ACK,reno
1767694630.181254,1234,test_handshake.txt,upload,1,4096,5.517244338989258,5.517244338989258,16.551733016967773,2.0,16.0,ACK,reno
1767694631.197382,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.198422,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.1993861,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2033875,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2050045,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2092667,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2103195,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2113092,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2123063,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2185323,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2205806,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2205806,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.22158,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2247186,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2252798,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.226277,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2273111,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2292717,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2343607,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2343607,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2343607,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.23632,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.238318,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2395751,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2398071,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.241587,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2425852,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.243585,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2445521,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2455373,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2455373,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2466471,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2486,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.249543,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2505896,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.254585,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.255548,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.255548,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2585483,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2605433,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2615461,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2625468,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2635362,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2655382,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2707274,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2717345,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2727256,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2727256,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2727256,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2737265,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2747326,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2747326,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.275726,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.275726,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2797232,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2850857,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2858257,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2876232,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2886279,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2886279,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2907395,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.291633,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2933373,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.2961795,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.301212,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.301212,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3038259,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3038259,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3047316,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3047316,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3047316,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3067307,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3077297,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3159304,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3170578,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3180444,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3190434,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.320041,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.320041,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.322043,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767694631.3230412,1234,test_handshake.txt,download,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
