ts,room,file,direction,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1767779095.2204194,0000,Wireshark_HTTP_v9.0.pdf,upload,1,0,,,2000.0,1.0,2.0,TIMEOUT,reno
1767779095.2224617,0000,Wireshark_HTTP_v9.0.pdf,upload,2,4096,0.9951591491699219,0.9951591491699219,200.0,2.0,2.0,ACK,reno
1767779095.2253718,0000,Wireshark_HTTP_v9.0.pdf,upload,3,4096,1.135110855102539,1.012653112411499,200.0,2.5,2.0,ACK,reno
1767779095.227419,0000,Wireshark_HTTP_v9.0.pdf,upload,4,4096,2.551555633544922,1.2050159275531769,200.0,2.9,2.0,ACK,reno
1767779095.2283728,0000,Wireshark_HTTP_v9.0.pdf,upload,5,4096,1.9996166229248047,1.3043410144746304,200.0,3.2448275862068963,2.0,ACK,reno
1767779095.4331074,0000,Wireshark_HTTP_v9.0.pdf,upload,6,0,,1.3043410144746304,400.0,1.0,2.0,TIMEOUT,reno
1767779095.4341102,0000,Wireshark_HTTP_v9.0.pdf,upload,7,4096,0.0,1.1412983876653016,200.0,2.0,2.0,ACK,reno
1767779095.4351106,0000,Wireshark_HTTP_v9.0.pdf,upload,8,0,,1.1412983876653016,400.0,1.0,2.0,TIMEOUT,reno
1767779095.4361093,0000,Wireshark_HTTP_v9.0.pdf,upload,9,4096,0.0,0.9986360892071389,200.0,2.0,2.0,ACK,reno
1767779095.4361093,0000,Wireshark_HTTP_v9.0.pdf,upload,10,0,,0.9986360892071389,400.0,1.0,2.0,TIMEOUT,reno
1767779095.4373515,0000,Wireshark_HTTP_v9.0.pdf,upload,11,4096,1.2421607971191406,1.029076677696139,200.0,2.0,2.0,ACK,reno
1767779095.4381084,0000,Wireshark_HTTP_v9.0.pdf,upload,12,4096,0.7569789886474609,0.9950644665650543,200.0,2.5,2.0,ACK,reno
1767779095.6534421,0000,Wireshark_HTTP_v9.0.pdf,upload,14,0,,1.0905629428208385,400.0,1.0,2.0,TIMEOUT,reno
