ts,room,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1763754895.8758209,3815,1,4096,0.14328956604003906,0.14328956604003906,0.4298686981201172,2.0,8.0,ACK,reno
1763754895.8761303,3815,2,4096,0.19669532775878906,0.1499652862548828,0.4183053970336914,3.0,8.0,ACK,reno
1763754895.8763404,3815,3,4096,0.1747608184814453,0.15306472778320312,0.37911534309387207,4.0,8.0,ACK,reno
1763754895.8764813,3815,4,4096,0.11134147644042969,0.14784932136535645,0.3591105341911316,5.0,8.0,ACK,reno
1763754895.8766344,3815,5,4096,0.12373924255371094,0.14483556151390076,0.3273915499448776,6.0,8.0,ACK,reno
1763754895.8767598,3815,6,4096,0.095367431640625,0.1386520452797413,0.3250371664762497,7.0,8.0,ACK,reno
1763754895.8769786,3815,7,4096,0.09584426879882812,0.13330107321962714,0.3158976905979216,8.0,8.0,ACK,reno
1763754895.8770697,3815,8,4096,0.07009506225585938,0.12540032184915617,0.3255537958466448,8.125,8.0,ACK,reno
1763754895.8771887,3815,9,4096,0.09799003601074219,0.12197403611935442,0.29949942745588487,8.248076923076923,8.0,ACK,reno
1763754895.8772793,3815,10,4096,0.06985664367675781,0.11545936206402985,0.3007207980090243,8.369317305450437,8.0,ACK,reno
1763754895.877378,3815,11,4096,0.07843971252441406,0.11083190587157787,0.2867976323699395,8.488801364126138,8.0,ACK,reno
1763754895.8774683,3815,12,4096,0.06914138793945312,0.10562059113006228,0.27928540393595824,8.606603625847802,8.0,ACK,reno
1763754895.877567,3815,13,4096,0.0782012939453125,0.10219317898196856,0.2598610857711403,8.722793477672365,8.0,ACK,reno
1763754895.8776562,3815,14,4096,0.06890296936035156,0.09803190277926643,0.24957304249276224,8.837435650797257,8.0,ACK,reno
1763754895.877755,3815,15,4096,0.0782012939453125,0.09555307667502219,0.22903954029409798,8.950590647281988,8.0,ACK,reno
1763754895.8778443,3815,16,4096,0.06914138793945312,0.09225161558307605,0.21877815203295198,9.062315117700448,8.0,ACK,reno
1763754895.8779426,3815,17,4096,0.07796287536621094,0.09046552305596792,0.19964916561024,9.172662196455942,8.0,ACK,reno
1763754895.878032,3815,18,4096,0.06937980651855469,0.08782980848879127,0.19080325694190853,9.281681800425046,8.0,ACK,reno
1763754895.878147,3815,19,4096,0.09465217590332031,0.0886826044156074,0.1727350581699744,9.389420895720708,8.0,ACK,reno
1763754895.8782358,3815,20,4096,0.06914138793945312,0.08623995235608811,0.16882050914801763,9.495923736642,8.0,ACK,reno
1763754895.8783522,3815,21,4096,0.09584426879882812,0.0874404919114306,0.15898022594811775,9.601232080278049,8.0,ACK,reno
1763754895.878442,3815,22,4096,0.06985664367675781,0.0852425108820965,0.15648115964428466,9.705385379733658,8.0,ACK,reno
1763754895.8785405,3815,23,4096,0.07867813110351562,0.0844219634097739,0.14441532975999588,9.80842095852563,8.0,ACK,reno
