ts,room,file,direction,seq,bytes,rtt_ms,srtt_ms,rto_ms,cwnd,ssthresh,event,algo
1767694948.3283334,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,1,4096,1.6334056854248047,1.6334056854248047,4.900217056274414,2.0,16.0,ACK,reno
1767694948.32934,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,2,4096,1.0066032409667969,1.5550553798675537,4.6319663524627686,3.0,16.0,ACK,reno
1767694948.3303347,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,3,4096,2.0012855529785156,1.610834151506424,4.364747554063797,4.0,16.0,ACK,reno
1767694948.3303347,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,4,4096,0.9946823120117188,1.5338151715695858,4.215402062982321,5.0,16.0,ACK,reno
1767694948.3323758,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,5,4096,2.0411014556884766,1.5972259570844471,4.115702409762889,6.0,16.0,ACK,reno
1767694948.3333375,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,8,0,,2.0612022693740073,5.913033240517507,6.0,3.0,FAST_RETRANSMIT_RENO,reno
1767694948.3343756,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,9,0,,2.3086715478513042,7.177299004027304,7.0,3.0,DUP_ACK_RECOVERY,reno
1767694948.3353403,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,10,0,,2.6457873628995543,8.994184475417555,8.0,3.0,DUP_ACK_RECOVERY,reno
1767694948.3353403,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,11,4096,2.002716064453125,2.5654034505937506,7.96977258342868,3.3333333333333335,3.0,ACK,reno
1767694948.3353403,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,12,4096,0.0,2.244728019269532,8.86340831948948,3.6333333333333333,3.0,ACK,reno
1767694948.4470842,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,15,0,,2.1066051490477458,13.378517575086343,1.0,2.0,TIMEOUT,reno
1767694948.44799,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,16,4096,111.38629913330078,15.766566897079375,128.48325111020398,2.0,2.0,ACK,reno
1767694948.450019,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,19,4096,1.0287761688232422,10.901944566854207,87.69959919564941,2.5,2.0,ACK,reno
1767694948.4509976,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,20,4096,0.9787082672119141,9.66154002939892,77.18301730063762,2.9,2.0,ACK,reno
1767694948.4519982,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,21,4096,1.0006427764892578,8.578927872785211,67.88093307912389,3.2448275862068963,2.0,ACK,reno
1767694948.4525452,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,22,4096,1.5475749969482422,7.70000876330559,59.207865543896574,3.5530103704789475,2.0,ACK,reno
1767694948.4525452,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,23,4096,0.5469322204589844,6.805874195449764,52.5898433237396,3.8344618428159674,2.0,ACK,reno
1767694948.4531384,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,24,4096,0.5931854248046875,6.02928809911913,46.57995371598159,4.095254632258779,2.0,ACK,reno
1767694948.556326,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,26,0,,5.474676797956656,80.64913283980658,1.0,2.0476273161293896,TIMEOUT,reno
1767694948.5574732,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,27,4096,104.33483123779297,17.832196102936194,142.82976775923248,2.0,2.0476273161293896,ACK,reno
1767694948.7729955,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,30,0,,13.799134346556496,223.90495243078388,1.0,2.0,TIMEOUT,reno
1767694948.774309,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,31,4096,216.1085605621338,39.08781262350366,315.01224524070756,2.0,2.0,ACK,reno
1767694948.7762406,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,33,4096,1.0731220245361328,30.15232932963439,247.28106738434096,2.5,2.0,ACK,reno
1767694948.7762406,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,34,4096,1.0731220245361328,26.517428416497108,218.44318926262528,2.9,2.0,ACK,reno
1767694948.7770405,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,35,4096,0.7998943328857422,23.30273665604569,192.96459137425316,3.2448275862068963,2.0,ACK,reno
1767694948.7780356,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,36,4096,0.9951591491699219,20.51428946768622,170.0682580132176,3.5530103704789475,2.0,ACK,reno
1767694948.7785933,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,37,4096,1.5528202056884766,18.1441058099365,149.27105148108276,3.8344618428159674,2.0,ACK,reno
1767694948.9897962,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,40,0,,14.496456396493894,226.93665207540158,1.0,2.0,TIMEOUT,reno
1767694948.9905212,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,41,4096,211.36856079101562,39.105469445809106,310.20647607123595,2.0,2.0,ACK,reno
1767694948.992939,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,44,4096,0.5970001220703125,26.599778250336264,216.4012208882034,2.5,2.0,ACK,reno
1767694948.992939,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,45,4096,0.0,23.27480596904423,192.22566619778084,2.9,2.0,ACK,reno
1767694949.2041867,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,47,0,,20.60211546499439,337.39356933789117,1.0,2.0,TIMEOUT,reno
1767694949.2061772,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,48,4096,212.21446990966797,44.55365977057859,347.23701611821554,2.0,2.0,ACK,reno
1767694949.208845,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,50,4096,0.7274150848388672,34.308873400570704,275.63168194208725,2.5,2.0,ACK,reno
1767694949.2096677,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,51,4096,1.4691352844238281,30.203906136052346,244.0357506583366,2.9,2.0,ACK,reno
1767694949.2102373,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,52,4096,0.5695819854736328,26.499615617230006,216.50782315952193,3.2448275862068963,2.0,ACK,reno
1767694949.2108254,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,53,4096,0.5881786346435547,23.2606859944067,191.67827863371207,3.5530103704789475,2.0,ACK,reno
1767694949.211819,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,54,4096,0.0,20.353100245105864,169.92698071899162,3.8344618428159674,2.0,ACK,reno
1767694949.211819,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,55,4096,0.9934902191162109,17.93314899185716,149.47316937326113,4.095254632258779,2.0,ACK,reno
1767694949.2128658,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,56,4096,2.040386199951172,15.94655364286891,130.49433172082786,4.339439692724345,2.0,ACK,reno
1767694949.2128658,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,57,4096,1.046895980834961,14.084096435114667,114.89458765561784,4.569884190357676,2.0,ACK,reno
1767694949.2138681,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,58,4096,2.0492076873779297,12.579735341647574,100.22249250476169,4.7887081163796905,2.0,ACK,reno
1767694949.2141647,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,59,4096,1.2989044189453125,11.16963147630979,88.18253027134764,4.997532704493449,2.0,ACK,reno
1767694949.2148197,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,60,4096,1.9538402557373047,10.01765757373823,76.9931228905891,5.197631445038131,2.0,ACK,reno
1767694949.2148197,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,61,4096,0.9515285491943359,8.884391445670243,68.1821194578523,5.390026771750771,2.0,ACK,reno
1767694949.2158222,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,62,4096,1.6574859619140625,7.98102826020072,59.68122975309343,5.575554607204394,2.0,ACK,reno
1767694949.2158222,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,63,4096,1.0025501251220703,7.108718493315889,52.86234774806408,5.754908962142979,2.0,ACK,reno
1767694949.2170012,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,64,4096,2.181529998779297,6.492819931498815,45.73523036709655,5.92867365704575,2.0,ACK,reno
1767694949.2170012,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,65,4096,2.181529998779297,5.953908689908875,39.69700644932669,6.097345447373015,2.0,ACK,reno
1767694949.217995,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,66,4096,2.172708511352539,5.4812586675893336,34.569782165709036,6.261351244425376,2.0,ACK,reno
1767694949.218993,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,67,4096,3.1707286834716797,5.192442419574627,29.31936502728206,6.4210611793839565,2.0,ACK,reno
1767694949.218993,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,68,4096,1.9917488098144531,4.792355718354606,26.088241283895357,6.576798676981813,2.0,ACK,reno
1767694949.219795,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,69,4096,2.7937889099121094,4.542534867299294,22.51301584989735,6.7288483365677,2.0,ACK,reno
1767694949.2203612,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,70,4096,2.366304397583008,4.270506058584758,19.924597265249588,6.877462178042702,2.0,ACK,reno
1767694949.2213464,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,71,4096,3.351449966430664,4.155624047065496,16.81524854421821,7.02286464978477,2.0,ACK,reno
1767694949.2223399,9999,computer-networking-a-top-down-approach-8th-edition.pdf,upload,72,4096,4.344940185546875,4.1792885643756685,13.863323075721585,7.165256686349315,2.0,ACK,reno
